,idx,accuracy,accuracy_top5,num_samples,file_name
2038,9069,0.9710144927536232,0.9855072463768116,69,/media/andrius/FastBoi/bakis_data/final22k/train/Uffie - Pop The Glock.mp3
2039,9489,0.9857142857142858,1.0,70,/media/andrius/FastBoi/bakis_data/final22k/train/twocolors - Lovefool - Nicky Romero Remix.mp3
2040,7109,0.9903846153846154,0.9903846153846154,104,/media/andrius/FastBoi/bakis_data/final22k/train/Stereo MC's - Connected.mp3
2041,1450,0.9803921568627451,0.9803921568627451,102,/media/andrius/FastBoi/bakis_data/final22k/train/Chance the Rapper - No Problem (feat. Lil Wayne & 2 Chainz).mp3
2042,289,0.9444444444444444,0.9444444444444444,72,/media/andrius/FastBoi/bakis_data/final22k/train/Andrés Calamaro - Estadio Azteca.mp3
2043,7994,0.9652173913043478,0.991304347826087,115,"/media/andrius/FastBoi/bakis_data/final22k/train/The High Llamas - Checking In, Checking Out.mp3"
2044,7993,0.9770114942528736,0.9885057471264368,87,/media/andrius/FastBoi/bakis_data/final22k/train/The Hidden Cameras - Ban Marriage.mp3
2045,5427,0.9666666666666667,0.9833333333333333,180,/media/andrius/FastBoi/bakis_data/final22k/train/Neil Young - Ambulance Blues - Remastered.mp3
2046,6566,0.7777777777777778,0.9178743961352657,414,/media/andrius/FastBoi/bakis_data/final22k/train/Rush - 2112- Overture  The Temples Of Syrinx  Discovery  Presentation  Oracle  Soliloquy  Grand Finale - Medley.mp3
2047,8936,0.9482758620689655,1.0,58,/media/andrius/FastBoi/bakis_data/final22k/train/Tom Walker - Just You and I.mp3
2048,4126,0.9888888888888889,0.9888888888888889,90,/media/andrius/FastBoi/bakis_data/final22k/train/Kanye West - Can't Tell Me Nothing.mp3
2049,9191,0.9775280898876404,1.0,89,/media/andrius/FastBoi/bakis_data/final22k/train/War - The Cisco Kid.mp3
2050,1275,0.9054054054054054,0.9864864864864865,74,/media/andrius/FastBoi/bakis_data/final22k/train/Buffalo Springfield - Expecting to Fly.mp3
2051,6513,0.9538461538461539,0.9692307692307692,65,/media/andrius/FastBoi/bakis_data/final22k/train/Rough Trade - High School Confidential.mp3
2052,8551,0.9830508474576272,1.0,59,/media/andrius/FastBoi/bakis_data/final22k/train/The Spencer Davis Group - Gimme Some Lovin' - Single Mix.mp3
2053,2065,1.0,1.0,120,/media/andrius/FastBoi/bakis_data/final22k/train/Depeche Mode - It's No Good.mp3
2054,445,1.0,1.0,87,/media/andrius/FastBoi/bakis_data/final22k/train/At The Drive In - One Armed Scissor.mp3
2055,7095,1.0,1.0,119,/media/andrius/FastBoi/bakis_data/final22k/train/Steely Dan - Do It Again.mp3
2056,1270,0.9444444444444444,1.0,36,/media/andrius/FastBoi/bakis_data/final22k/train/Buddy Holly - Rave On.mp3
2057,6400,0.9428571428571428,0.9714285714285714,70,/media/andrius/FastBoi/bakis_data/final22k/train/Rickie Lee Jones - Chuck E's in Love.mp3
2058,3745,1.0,1.0,99,/media/andrius/FastBoi/bakis_data/final22k/train/Jeru The Damaja - Come Clean.mp3
2059,5393,0.8307692307692308,0.9384615384615385,65,/media/andrius/FastBoi/bakis_data/final22k/train/Nat King Cole - Stardust - Remastered 2005.mp3
2060,5908,0.9787234042553191,0.9893617021276596,94,/media/andrius/FastBoi/bakis_data/final22k/train/Pete Seeger - We Shall Overcome.mp3
2061,1509,0.9906542056074766,0.9906542056074766,107,/media/andrius/FastBoi/bakis_data/final22k/train/Charly Bliss - Young Enough.mp3
2062,6300,0.8811881188118812,0.9306930693069307,101,/media/andrius/FastBoi/bakis_data/final22k/train/Randy Crawford - One Day I'll Fly Away.mp3
2063,6019,0.9770114942528736,0.9885057471264368,87,/media/andrius/FastBoi/bakis_data/final22k/train/Poison - Every Rose Has Its Thorn - Remastered 2003.mp3
2064,6382,1.0,1.0,87,/media/andrius/FastBoi/bakis_data/final22k/train/Rich Homie Quan - Type of Way.mp3
2065,4914,0.9743589743589743,0.9743589743589743,78,/media/andrius/FastBoi/bakis_data/final22k/train/Manic Street Preachers - Faster.mp3
2066,7654,0.9863013698630136,0.9863013698630136,73,/media/andrius/FastBoi/bakis_data/final22k/train/The Bravery - An Honest Mistake - CD Album Version.mp3
2067,2038,1.0,1.0,94,/media/andrius/FastBoi/bakis_data/final22k/train/Deichkind - Remmidemmi (Yippie Yippie Yeah).mp3
2068,1955,0.9732142857142857,0.9910714285714286,112,/media/andrius/FastBoi/bakis_data/final22k/train/David Bowie - TVC15 - 1999 Remaster.mp3
2069,2188,0.9814814814814815,1.0,54,/media/andrius/FastBoi/bakis_data/final22k/train/Dolly Parton - 9 To 5.mp3
2070,5413,0.948051948051948,0.987012987012987,77,/media/andrius/FastBoi/bakis_data/final22k/train/Nazareth - Love Hurts.mp3
2071,5070,0.9504950495049505,1.0,101,/media/andrius/FastBoi/bakis_data/final22k/train/Mecano - Cruz de Navajas.mp3
2072,5589,0.8823529411764706,0.9803921568627451,102,/media/andrius/FastBoi/bakis_data/final22k/train/Nirvana - Where Did You Sleep Last Night.mp3
2073,317,1.0,1.0,113,/media/andrius/FastBoi/bakis_data/final22k/train/Animotion - Obsession.mp3
2074,5791,0.9320388349514563,0.9805825242718447,103,/media/andrius/FastBoi/bakis_data/final22k/train/Patti Smith - Hey Joe - Version.mp3
2075,2323,0.9680851063829787,0.9893617021276596,94,/media/andrius/FastBoi/bakis_data/final22k/train/Dusty Springfield - Nothing Has Been Proved.mp3
2076,2796,1.0,1.0,79,/media/andrius/FastBoi/bakis_data/final22k/train/Foals - My Number.mp3
2077,7014,0.9903846153846154,1.0,104,/media/andrius/FastBoi/bakis_data/final22k/train/Soundgarden - Outshined.mp3
2078,1149,0.8602150537634409,0.956989247311828,93,/media/andrius/FastBoi/bakis_data/final22k/train/Brandi Carlile - The Joke.mp3
2079,5230,0.9666666666666667,0.9833333333333333,60,/media/andrius/FastBoi/bakis_data/final22k/train/Mississippi John Hurt - Stack O' Lee.mp3
2080,6696,0.9846153846153847,1.0,65,/media/andrius/FastBoi/bakis_data/final22k/train/Scritti Politti - The Word Girl - Edit.mp3
2081,456,0.9907407407407407,1.0,108,/media/andrius/FastBoi/bakis_data/final22k/train/Australian Crawl - Reckless (Don't Be So...) - Remastered.mp3
2082,3798,0.9761904761904762,1.0,42,/media/andrius/FastBoi/bakis_data/final22k/train/Jimmy Jones - Good Timin'.mp3
2083,3234,0.881578947368421,0.9605263157894737,76,/media/andrius/FastBoi/bakis_data/final22k/train/Guns N' Roses - Mr. Brownstone.mp3
2084,2773,0.8924731182795699,0.967741935483871,93,/media/andrius/FastBoi/bakis_data/final22k/train/Fleetwood Mac - The Green Manalishi (With the Two Pronged Crown).mp3
2085,4894,0.9880952380952381,0.9880952380952381,84,/media/andrius/FastBoi/bakis_data/final22k/train/Main Source - Looking at the Front Door - 2017 Remastered Version.mp3
2086,2819,1.0,1.0,73,/media/andrius/FastBoi/bakis_data/final22k/train/Fountains Of Wayne - Radiation Vibe.mp3
2087,6586,0.9583333333333334,1.0,72,/media/andrius/FastBoi/bakis_data/final22k/train/Röyksopp - Eple.mp3
2088,7142,0.4818181818181818,1.0,110,/media/andrius/FastBoi/bakis_data/final22k/train/Stevie Nicks - Edge of Seventeen - 2016 Remaster.mp3
2089,3816,0.9633507853403142,1.0,191,/media/andrius/FastBoi/bakis_data/final22k/train/Joanna Newsom - Baby Birch.mp3
2090,4624,0.9811320754716981,0.9811320754716981,53,/media/andrius/FastBoi/bakis_data/final22k/train/Lizzo - Good As Hell.mp3
2091,6071,0.9722222222222222,0.9861111111111112,72,"/media/andrius/FastBoi/bakis_data/final22k/train/Primal Scream, George Drakoulias, David Bianco - Rocks.mp3"
2092,646,0.9387755102040817,1.0,49,/media/andrius/FastBoi/bakis_data/final22k/train/Benny Goodman - Goody Goody - 1987 Remastered.mp3
2093,7442,0.9846153846153847,1.0,65,/media/andrius/FastBoi/bakis_data/final22k/train/The Animals - Don't Bring Me Down (Bonus Track).mp3
2094,5788,1.0,1.0,61,/media/andrius/FastBoi/bakis_data/final22k/train/Patti Smith - Frederick.mp3
2095,7282,0.9662921348314607,0.9887640449438202,89,/media/andrius/FastBoi/bakis_data/final22k/train/Sylvan Esso - Coffee.mp3
2096,8101,0.927536231884058,0.9855072463768116,69,/media/andrius/FastBoi/bakis_data/final22k/train/The Kendalls - Just Like Real People.mp3
2097,656,0.9509803921568627,0.9803921568627451,102,/media/andrius/FastBoi/bakis_data/final22k/train/Bentley Rhythm Ace - Bentley's Gonna Sort You Out.mp3
2098,3683,0.9464285714285714,0.9464285714285714,56,/media/andrius/FastBoi/bakis_data/final22k/train/Jay & The Americans - Come A Little Bit Closer.mp3
2099,3697,0.9761904761904762,0.9761904761904762,42,/media/andrius/FastBoi/bakis_data/final22k/train/Jeanne Moreau - Le tourbillon.mp3
2100,6319,0.9166666666666666,0.9583333333333334,72,/media/andrius/FastBoi/bakis_data/final22k/train/Ray Charles - America The Beautiful.mp3
2101,4926,0.972972972972973,0.972972972972973,74,/media/andrius/FastBoi/bakis_data/final22k/train/Mantronix - Needle to the Groove.mp3
2102,1231,1.0,1.0,87,/media/andrius/FastBoi/bakis_data/final22k/train/Bruce Springsteen - One Step Up.mp3
2103,8050,0.9733333333333334,0.9866666666666667,75,/media/andrius/FastBoi/bakis_data/final22k/train/The J. Geils Band - Love Stinks.mp3
2104,1923,0.9279279279279279,0.990990990990991,111,/media/andrius/FastBoi/bakis_data/final22k/train/David Bowie - China Girl - 1999 Remaster.mp3
2105,8216,0.9571428571428572,0.9714285714285714,70,"/media/andrius/FastBoi/bakis_data/final22k/train/The Mothers Of Invention - Hungry Freaks, Daddy.mp3"
2106,9132,0.9801980198019802,0.9900990099009901,101,/media/andrius/FastBoi/bakis_data/final22k/train/Van Morrison - It's All In The Game - 2007 Remastered.mp3
2107,5700,0.9809523809523809,0.9904761904761905,105,/media/andrius/FastBoi/bakis_data/final22k/train/Oumou Sangaré - Moussolou.mp3
2108,2486,1.0,1.0,91,/media/andrius/FastBoi/bakis_data/final22k/train/Elvin Bishop - Fooled Around And Fell In Love.mp3
2109,3677,0.9876543209876543,1.0,81,/media/andrius/FastBoi/bakis_data/final22k/train/Javiera Mena - Al Siguiente Nivel.mp3
2110,9203,1.0,1.0,52,/media/andrius/FastBoi/bakis_data/final22k/train/Wavves - King Of The Beach.mp3
2111,8002,0.9036144578313253,0.9397590361445783,83,/media/andrius/FastBoi/bakis_data/final22k/train/The Hold Steady - Stuck Between Stations.mp3
2112,3360,0.9577464788732394,1.0,142,/media/andrius/FastBoi/bakis_data/final22k/train/Hot Chip - Flutes.mp3
2113,2597,0.9726027397260274,0.9863013698630136,73,/media/andrius/FastBoi/bakis_data/final22k/train/Eric Clapton - Wonderful Tonight.mp3
2114,3873,1.0,1.0,83,/media/andrius/FastBoi/bakis_data/final22k/train/John Hiatt - Thing Called Love.mp3
2115,4616,0.9625,0.9875,80,/media/andrius/FastBoi/bakis_data/final22k/train/Live - All Over You.mp3
2116,6910,0.95,0.9666666666666667,60,/media/andrius/FastBoi/bakis_data/final22k/train/Sly & The Family Stone - If You Want Me to Stay.mp3
2117,1869,0.9541284403669725,0.981651376146789,109,/media/andrius/FastBoi/bakis_data/final22k/train/Dan Le Sac vs Scroobius Pip - Thou Shalt Always Kill - Sunday Best Cosmic Dub.mp3
2118,3044,0.9745762711864406,0.9745762711864406,118,/media/andrius/FastBoi/bakis_data/final22k/train/George Harrison - Isn't It A Pity - 2001 Digital Remaster.mp3
2119,7456,0.9310344827586207,0.9655172413793104,58,/media/andrius/FastBoi/bakis_data/final22k/train/The Association - Windy.mp3
2120,2696,0.9791666666666666,1.0,48,/media/andrius/FastBoi/bakis_data/final22k/train/Fats Domino - Ain't That A Shame.mp3
2121,4695,0.9936305732484076,1.0,157,/media/andrius/FastBoi/bakis_data/final22k/train/Lou Reed - Intro  Sweet Jane.mp3
2122,5294,0.9333333333333333,0.9888888888888889,90,/media/andrius/FastBoi/bakis_data/final22k/train/Morrissey - Speedway - 2014 Remaster.mp3
2123,5192,0.9411764705882353,0.9926470588235294,544,"/media/andrius/FastBoi/bakis_data/final22k/train/Miles Davis - Bitches Brew (feat. John McLaughlin, Wayne Shorter, Chick Corea & Joe Zawinul).mp3"
2124,6052,0.967741935483871,0.967741935483871,62,/media/andrius/FastBoi/bakis_data/final22k/train/Pretenders - Brass in Pocket.mp3
2125,7884,0.9418604651162791,0.9651162790697675,86,/media/andrius/FastBoi/bakis_data/final22k/train/The Dream Academy - Life in a Northern Town.mp3
2126,5034,0.96,0.98,100,/media/andrius/FastBoi/bakis_data/final22k/train/Mastodon - The Motherload.mp3
2127,6161,0.9827586206896551,1.0,116,/media/andrius/FastBoi/bakis_data/final22k/train/Queen - Radio Ga Ga - Remastered 2011.mp3
2128,6801,0.9438202247191011,0.9775280898876404,89,/media/andrius/FastBoi/bakis_data/final22k/train/Silverchair - Tomorrow.mp3
2129,7954,0.95,0.975,80,/media/andrius/FastBoi/bakis_data/final22k/train/The Fray - You Found Me.mp3
2130,4919,0.9620253164556962,0.9746835443037974,79,/media/andrius/FastBoi/bakis_data/final22k/train/Manic Street Preachers - Your Love Alone Is Not Enough (feat. Nina Persson).mp3
2131,2612,1.0,1.0,75,/media/andrius/FastBoi/bakis_data/final22k/train/Erykah Badu - On & On.mp3
2132,751,1.0,1.0,76,/media/andrius/FastBoi/bakis_data/final22k/train/Bill Withers - Use Me - Single Version.mp3
2133,5953,0.96875,0.984375,64,/media/andrius/FastBoi/bakis_data/final22k/train/Phoenix - 1901.mp3
