,idx,accuracy,accuracy_top5,num_samples,file_name
63,2842,0.9375,0.96875,64,-1
64,8720,0.9035087719298246,0.9736842105263158,114,-1
65,296,0.9259259259259259,0.9814814814814815,54,-1
66,2512,0.9142857142857143,0.9857142857142858,70,-1
67,6034,0.7425742574257426,0.9603960396039604,101,-1
68,3136,0.8854625550660793,0.9493392070484582,454,-1
69,6082,0.8842105263157894,0.9578947368421052,95,-1
70,4001,0.8452380952380952,0.9523809523809523,84,-1
71,5059,1.0,1.0,88,-1
72,846,0.9206349206349206,0.9841269841269841,126,-1
73,416,0.9093333333333333,0.96,375,-1
74,6628,0.9607843137254902,0.9803921568627451,51,-1
75,2162,0.875,0.9583333333333334,48,-1
76,7547,0.9841269841269841,1.0,63,-1
77,1738,0.9516129032258065,0.9838709677419355,62,-1
78,769,1.0,1.0,100,-1
79,221,0.8452380952380952,0.9583333333333334,168,-1
80,2409,1.0,1.0,73,-1
81,4493,0.9565217391304348,0.9855072463768116,69,-1
82,4827,0.7096774193548387,0.8225806451612904,62,-1
83,5859,0.9558823529411765,0.9558823529411765,68,-1
84,5784,0.9180327868852459,0.9344262295081968,61,-1
85,3885,0.9375,0.9583333333333334,96,-1
86,5056,0.9739130434782609,0.991304347826087,115,-1
87,6175,0.6794871794871795,0.8076923076923077,78,-1
88,6323,0.8059701492537313,0.9402985074626866,67,-1
89,2336,0.9857142857142858,1.0,70,-1
90,1113,1.0,1.0,74,-1
91,585,0.9833333333333333,1.0,60,-1
92,2123,0.925,0.9625,80,-1
93,411,0.9914529914529915,1.0,117,-1
94,9111,0.9342105263157895,0.9605263157894737,76,-1
95,7943,0.9344262295081968,0.9836065573770492,61,-1
96,551,0.891566265060241,0.9879518072289156,83,-1
97,5351,0.7962962962962963,0.8518518518518519,54,-1
98,4927,0.9785714285714285,1.0,140,-1
99,1018,0.9929577464788732,0.9929577464788732,142,-1
100,7966,0.9436619718309859,0.9859154929577465,71,-1
101,8587,1.0,1.0,69,-1
102,1884,0.8088235294117647,0.9117647058823529,68,-1
103,1817,0.8522727272727273,0.9659090909090909,88,-1
104,9247,0.9896907216494846,1.0,97,-1
105,7177,0.8513513513513513,0.9594594594594594,74,-1
106,1774,0.9066666666666666,0.9866666666666667,75,-1
107,1025,0.9620253164556962,0.9746835443037974,79,-1
108,10,1.0,1.0,46,-1
109,6693,0.958904109589041,1.0,73,-1
